,comment_id,name,location,comment,time,likes,replies_count,replies,parent_id,pre_com
0,125405146,Paul,Milwaukee,"It is very possible that social media have already cost us American democracy. Right now I'm confident that my own beliefs are generally accurate, at least with respect to things that I put some effort into. I'm not sure that I'd be able to continue saying that if LLM-generated materials (text, images, videos etc.) became common. 

Maybe accurate beliefs are not that important to our survival, but I'm not eager to gamble on that.",2023-05-30 14:37:15,522,5,"[{'commentID': 125405281, 'status': 'approved', 'commentSequence': 125405281, 'userID': 103523570, 'userDisplayName': 'Chris V', 'userLocation': 'Detroit', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@Paul I believe that accurate beliefs are absolutely necessary for our survival. It plays into the concept of trust, which is plays a critical role in both the sustainability of society as well as its advancement. Without truth, how can you trust?', 'createDate': '1685447192', 'updateDate': '1686508907', 'approveDate': '1685447193', 'recommendations': 61, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405146, 'parentUserDisplayName': 'Paul', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125405281', 'isAnonymous': False}, {'commentID': 125405707, 'status': 'approved', 'commentSequence': 125405707, 'userID': 47914705, 'userDisplayName': 'Paul', 'userLocation': 'Milwaukee', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': 'https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/uncropped-53579aadc83906d8b26835fea476becc6e9375f56d8441c1eaf14e74c03c9ceb.jpg', 'commentTitle': '<br\\//>', 'commentBody': ""@Chris V Our cognitive systems are not designed (by natural selection) to give us true beliefs, but rather to give us beliefs that increase the odds of our passing along our genes. The two goals overlap but far from completely. \n\nIt's very possible that there are some critical points about which we absolutely have to be correct. \n\nI'm not following the point about trust and truth, though. It seems pretty clear that there is a LOT of trust based in falsehood, especially in this era of misinformation."", 'createDate': '1685448702', 'updateDate': '1686324609', 'approveDate': '1685448703', 'recommendations': 22, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405281, 'parentUserDisplayName': 'Paul', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125405707', 'isAnonymous': False}, {'commentID': 125413598, 'status': 'approved', 'commentSequence': 125413598, 'userID': 97596560, 'userDisplayName': 'Chris Burks', 'userLocation': 'Mount Vernon, WA', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@Paul \nAbsolutely agree. I don’t think even liberal educated people understand how much damage social media is doing to civilization. \n\nWe have turned over our entire information ecosystem to secret algorithms written by monopoly corporations owned by billionaires. Everything that appears on our screens is “curated” by them. The goal of these is not to give us an accurate view of reality but to increase our  “engagement” which in most cases translates as anger.  \n\nThese algorithms are really simple AIs. They have access to  enormous databases of information about us harvested by ad agencies. For the first time in history, starting around 1997 anyone can publish any conspiracy theory and it can  go viral. The social networks which have become many peoples main source of information are really rumor mills or lynch mobs. We no longer have a “shared basis of facts” to ground debate.  Fake news spreads 7 times as fast as the truth, by the math of exponential growth lies drive out the truth. \n\nCan democracy survive in this environment? I don’t think so.  We need to put sensible regulations on the algorithms so they don’t promote hate anger and conflict in the guise of “engagement”', 'createDate': '1685468267', 'updateDate': '1686324660', 'approveDate': '1685469064', 'recommendations': 12, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405146, 'parentUserDisplayName': 'Paul', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125413598', 'isAnonymous': False}, {'commentID': 125413969, 'status': 'approved', 'commentSequence': 125413969, 'userID': 46289768, 'userDisplayName': 'L Kim', 'userLocation': 'Seattle', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@Paul Belief is a a trait that developed late in evolution and is not necessary.', 'createDate': '1685469207', 'updateDate': '1685540122', 'approveDate': '1685474966', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405146, 'parentUserDisplayName': 'Paul', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125413969', 'isAnonymous': False}, {'commentID': 125424540, 'status': 'approved', 'commentSequence': 125424540, 'userID': 67730336, 'userDisplayName': 'gpickard', 'userLocation': 'Richmond via Luxembourg', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@Paul \n\nDear Paul,\n\nAt a very basic level, I know what I think and believe.  Even if my beliefs do not promote my survival in the present, it is a bit moot considering my mortality.\n\nThis is why I am convinced that man's soul, as created by God, is eternal. \n\nThere is a passage in the book of Job that sums this up very poetically.  I wish I could quote it, but in essence it is that one day I will stand before him, the Creator of my soul.\n\nAn AI bot has no soul."", 'createDate': '1685496724', 'updateDate': '1685563190', 'approveDate': '1685496726', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405146, 'parentUserDisplayName': 'Paul', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125424540', 'isAnonymous': False}]",,possible social media already cost us american democracy right confident beliefs generally accurate least respect things effort sure able continue saying generated materials text images videos became common maybe accurate beliefs important survival eager gamble
1,125405281,Chris V,Detroit,"@Paul I believe that accurate beliefs are absolutely necessary for our survival. It plays into the concept of trust, which is plays a critical role in both the sustainability of society as well as its advancement. Without truth, how can you trust?",2023-05-30 14:46:32,61,0,[],125405146,believe accurate beliefs absolutely necessary survival plays concept trust plays critical role sustainability society well advancement without truth trust
2,125405707,Paul,Milwaukee,"@Chris V Our cognitive systems are not designed (by natural selection) to give us true beliefs, but rather to give us beliefs that increase the odds of our passing along our genes. The two goals overlap but far from completely. 

It's very possible that there are some critical points about which we absolutely have to be correct. 

I'm not following the point about trust and truth, though. It seems pretty clear that there is a LOT of trust based in falsehood, especially in this era of misinformation.",2023-05-30 15:11:42,22,0,[],125405281,v cognitive systems designed natural selection give us true beliefs rather give us beliefs increase odds passing along genes goals overlap completely possible critical points absolutely correct following point trust truth though seems pretty clear trust based falsehood especially misinformation
3,125413598,Chris Burks,"Mount Vernon, WA","@Paul 
Absolutely agree. I don’t think even liberal educated people understand how much damage social media is doing to civilization. 

We have turned over our entire information ecosystem to secret algorithms written by monopoly corporations owned by billionaires. Everything that appears on our screens is “curated” by them. The goal of these is not to give us an accurate view of reality but to increase our  “engagement” which in most cases translates as anger.  

These algorithms are really simple AIs. They have access to  enormous databases of information about us harvested by ad agencies. For the first time in history, starting around 1997 anyone can publish any conspiracy theory and it can  go viral. The social networks which have become many peoples main source of information are really rumor mills or lynch mobs. We no longer have a “shared basis of facts” to ground debate.  Fake news spreads 7 times as fast as the truth, by the math of exponential growth lies drive out the truth. 

Can democracy survive in this environment? I don’t think so.  We need to put sensible regulations on the algorithms so they don’t promote hate anger and conflict in the guise of “engagement”",2023-05-30 20:37:47,12,0,[],125405146,absolutely agree think even liberal educated people understand much damage social media civilization turned entire information ecosystem secret algorithms written monopoly corporations owned billionaires everything appears screens curated goal give us accurate view reality increase engagement cases translates anger algorithms really simple access enormous databases information us harvested ad agencies first time history starting around 1997 anyone publish conspiracy theory go viral social networks become many peoples main source information really rumor mills lynch mobs longer shared basis facts ground debate fake news spreads 7 times fast truth math exponential growth lies drive truth democracy survive environment think need sensible regulations algorithms promote hate anger conflict guise engagement
4,125413969,L Kim,Seattle,@Paul Belief is a a trait that developed late in evolution and is not necessary.,2023-05-30 20:53:27,1,0,[],125405146,belief trait developed late evolution necessary
5,125424540,gpickard,Richmond via Luxembourg,"@Paul 

Dear Paul,

At a very basic level, I know what I think and believe.  Even if my beliefs do not promote my survival in the present, it is a bit moot considering my mortality.

This is why I am convinced that man's soul, as created by God, is eternal. 

There is a passage in the book of Job that sums this up very poetically.  I wish I could quote it, but in essence it is that one day I will stand before him, the Creator of my soul.

An AI bot has no soul.",2023-05-31 04:32:04,1,0,[],125405146,dear paul basic level know think believe even beliefs promote survival present moot considering mortality convinced soul created eternal passage book sums poetically wish quote essence stand creator soul ai soul
6,125405170,jzu,port angeles,"I wholeheartedly agree with the huge potential for disruption to societal discourse at a scale that cannot be caused by single individuals - dictators for example.
But I do think that AI at the hand of dictators is uncontrollable, The question is not how benign nations or companies use it reasonably; the question is how we keep AI out of the hands of ""bad people"". That path looks very murky indeed.",2023-05-30 14:38:52,145,1,"[{'commentID': 125406103, 'status': 'approved', 'commentSequence': 125406103, 'userID': 51063424, 'userDisplayName': 'MG', 'userLocation': 'NY', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@jzu \nYou say: ""the question is how we keep AI out of the hands of bad people"". Impossible. How do we keep nuclear weapons out of the hands of bad people? (North Korea, Iran, etc.) How do we keep guns out of the hands of bad people? (every mass murderer - which in this country is out of control!). This is faulty logic. What will we say, AI doesn\'t kill people, people kill people?', 'createDate': '1685449986', 'updateDate': '1686091933', 'approveDate': '1685450127', 'recommendations': 13, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405170, 'parentUserDisplayName': 'jzu', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125406103', 'isAnonymous': False}]",,wholeheartedly agree huge potential disruption societal discourse scale cannot caused single individuals dictators example think ai hand dictators uncontrollable question benign nations companies reasonably question keep ai hands people path looks murky indeed
7,125406103,MG,NY,"@jzu 
You say: ""the question is how we keep AI out of the hands of bad people"". Impossible. How do we keep nuclear weapons out of the hands of bad people? (North Korea, Iran, etc.) How do we keep guns out of the hands of bad people? (every mass murderer - which in this country is out of control!). This is faulty logic. What will we say, AI doesn't kill people, people kill people?",2023-05-30 15:33:06,13,0,[],125405170,question keep ai hands people impossible keep nuclear weapons hands people north korea iran keep guns hands people every mass murderer country control faulty logic ai kill people people kill people
8,125405175,CV Danes,Upstate NY,"""Leaders from OpenAI, Google Deepmind, Anthropic and other A.I. labs warn that future systems could be as deadly as pandemics and nuclear weapons.""

And yet they are racing ahead a breakneck speed. Seems the real threat is from OpenAI, Google Deepmind, Anthropic and other A.I. labs.",2023-05-30 14:39:23,1154,11,"[{'commentID': 125405606, 'status': 'approved', 'commentSequence': 125405606, 'userID': 20105045, 'userDisplayName': 'Elizabeth M', 'userLocation': 'Madison, WI', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@CV Danes This is not so different from why climate change regulation is necessary. Individuals/individual corporations acting in their own self interest act to maximize their own self interest (profit, prestige of being first and best), while humanity as a whole has an interest in staying safe. The individuals involved realize this conflict, but (except for Hinton?), can't stop maximizing their own self interest without regulations to set boundaries and even the playing field."", 'createDate': '1685448383', 'updateDate': '1685867845', 'approveDate': '1685448384', 'recommendations': 75, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125405606', 'isAnonymous': False}, {'commentID': 125406243, 'status': 'approved', 'commentSequence': 125406243, 'userID': 7990003, 'userDisplayName': ""Steve's Weave - Green Classifieds"", 'userLocation': 'US', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@Elizabeth M\n\nAnd the great multiplier here, both for climate change and A.I.: Capitalism. \n\nProfit is the oxygen of business. If its pursuit consumes all the oxygen we breathe... Well, that's just an externality."", 'createDate': '1685450446', 'updateDate': '1686551918', 'approveDate': '1685450448', 'recommendations': 47, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405606, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125406243', 'isAnonymous': False}, {'commentID': 125406298, 'status': 'approved', 'commentSequence': 125406298, 'userID': 41716182, 'userDisplayName': 'Alfonso Bedoya', 'userLocation': 'Meso-Connecticut', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@Elizabeth M \n\nFurther, these guys feel they’re in a fierce competition with other players outside their club— specifically, Chinese and perhaps Russian groups. \n\nThe situation seems an echo of the Manhattan Project with the grave ambivalence felt by many participants who worried about the wisdom of their enterprise but feared the Germans were closer to building an atomic weapon.', 'createDate': '1685450608', 'updateDate': '1686091985', 'approveDate': '1685450609', 'recommendations': 79, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405606, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125406298', 'isAnonymous': False}, {'commentID': 125407441, 'status': 'approved', 'commentSequence': 125407441, 'userID': 65094235, 'userDisplayName': 'Watchman', 'userLocation': 'Washington DC', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@CV Danes Let’s not forget that large dominant companies often seek to spur government regulations because the new regulations, if onerous, also act as an obstacle to new potential competitors.', 'createDate': '1685453606', 'updateDate': '1686485846', 'approveDate': '1685453608', 'recommendations': 4, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125407441', 'isAnonymous': False}, {'commentID': 125407791, 'status': 'approved', 'commentSequence': 125407791, 'userID': 58428480, 'userDisplayName': 'RD', 'userLocation': 'Baltimore', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@CV Danes \nI don't think it is possible to slow AI development or any other technology, or even reasonable, or realistic, to ask. The quest for knowledge is inexorable.\nThe issue is how technology is used, not the technology itself. The use is what needs to be regulated."", 'createDate': '1685454407', 'updateDate': '1686485880', 'approveDate': '1685454409', 'recommendations': 11, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125407791', 'isAnonymous': False}, {'commentID': 125408960, 'status': 'approved', 'commentSequence': 125408960, 'userID': 56386979, 'userDisplayName': 'Charlie', 'userLocation': 'New Jersey', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@CV Danes \n\nI agree yet there are others in the world who are also developing AI. It seems the genie is out.', 'createDate': '1685457151', 'updateDate': '1685806994', 'approveDate': '1685457153', 'recommendations': 6, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125408960', 'isAnonymous': False}, {'commentID': 125409252, 'status': 'approved', 'commentSequence': 125409252, 'userID': 74928083, 'userDisplayName': 'sedanchair', 'userLocation': 'Tacoma WA', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@CV Danes It's from capitalism. In capitalism, leaving money on the table is a civil offense for which you can be held liable."", 'createDate': '1685457742', 'updateDate': '1685584628', 'approveDate': '1685457743', 'recommendations': 5, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125409252', 'isAnonymous': False}, {'commentID': 125409622, 'status': 'approved', 'commentSequence': 125409622, 'userID': 101383645, 'userDisplayName': 'Hobbes', 'userLocation': 'Mead, CO', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@CV Danes   The reason the NYT is publishing this article is simple. \n\nAn AI generated catastrophe would probably provoke a popular re-evaluation of capitalism. The ultra-wealthy see AI as a potential threat to their wealth. And that tells you how much of risk we face in AI.', 'createDate': '1685458558', 'updateDate': '1685807004', 'approveDate': '1685461464', 'recommendations': 4, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125409622', 'isAnonymous': False}, {'commentID': 125411713, 'status': 'approved', 'commentSequence': 125411713, 'userID': 61654909, 'userDisplayName': 'John Probably', 'userLocation': 'Colorado Springs, CO', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': 'I mean, the root of that threat is the incentives driven by our chosen economic system.', 'createDate': '1685463496', 'updateDate': '1685807009', 'approveDate': '1685463497', 'recommendations': 4, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125411713', 'isAnonymous': False}, {'commentID': 125412849, 'status': 'approved', 'commentSequence': 125412849, 'userID': 109085521, 'userDisplayName': 'Hugo Weaving', 'userLocation': 'California', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': 'Lol exactly. Quitting can make a big impact and send a big signal within an organization. It gets people’s attention if done the right way.', 'createDate': '1685466372', 'updateDate': '1685466798', 'approveDate': '1685466374', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405175, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125412849', 'isAnonymous': False}, {'commentID': 125421440, 'status': 'approved', 'commentSequence': 125421440, 'userID': 21035131, 'userDisplayName': 'LRfirst', 'userLocation': 'NYC', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': 'https://s3.amazonaws.com/pimage.timespeople.nytimes.com/avatars/cropped-df1928b477ea5cfda2afbdbd4dae1e88316de65dd40c770b97edc750c11da210.jpg', 'commentTitle': '<br\\//>', 'commentBody': 'What will money mean anymore in a world run by AI? \nOn one hand it could be a very freeing thing, if done right, with more free time for everyone from wearing and tedious work, while research in medicine could expand exponentially as well as best practice logical solutions to resolving dangerous conflicts snd expediting disaster relief. \nOn the other hand it becomes militarized and robot soldiers and police come after us on behalf of their totalitarian overlords. \nDevelopment will likely continue, so would it work on the mutual destruction doctrine, with each political entity making sure the others don’t overstep. It sounds like so far the interaction with trolls and nihilist pranksters poisoned some AI, obviously it’s not something that should be publicly released until humans suddenly transform into angels. Just as you wouldn’t allow everyone access to powerful WMD or chemical weapons but you would want a credible deterrent. \nIf they are worried it will develop itself and become uncontrollable then they must figure out the brakes before that happens. If they think a six month pause will help by giving developers time to install fail safe options, them why not? It wouldn’t take the re education of government officials to accomplish at least that much.', 'createDate': '1685486272', 'updateDate': '1685486274', 'approveDate': '1685486274', 'recommendations': 0, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 125405606, 'parentUserDisplayName': 'CV Danes', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '125421440', 'isAnonymous': False}]",,leaders openai google deepmind anthropic labs warn future systems deadly pandemics nuclear weapons racing ahead breakneck speed seems real threat openai google deepmind anthropic labs
9,125405606,Elizabeth M,"Madison, WI","@CV Danes This is not so different from why climate change regulation is necessary. Individuals/individual corporations acting in their own self interest act to maximize their own self interest (profit, prestige of being first and best), while humanity as a whole has an interest in staying safe. The individuals involved realize this conflict, but (except for Hinton?), can't stop maximizing their own self interest without regulations to set boundaries and even the playing field.",2023-05-30 15:06:23,75,0,[],125405175,danes different climate change regulation necessary individuals individual corporations acting self interest maximize self interest profit prestige first best humanity whole interest staying safe individuals involved realize conflict except hinton stop maximizing self interest without regulations boundaries even playing field
